,GeoFIPS,county_name,state_name,year,housing_units
979,36001,Albany County,New York,2009,133501
980,36003,Allegany County,New York,2009,25047
981,36005,Bronx County,New York,2009,508895
982,36007,Broome County,New York,2009,89117
983,36009,Cattaraugus County,New York,2009,40612
984,36011,Cayuga County,New York,2009,36062
985,36013,Chautauqua County,New York,2009,65907
986,36015,Chemung County,New York,2009,38116
987,36017,Chenango County,New York,2009,24373
988,36019,Clinton County,New York,2009,34633
989,36021,Columbia County,New York,2009,31875
990,36023,Cortland County,New York,2009,20397
991,36025,Delaware County,New York,2009,29727
992,36027,Dutchess County,New York,2009,112204
993,36029,Erie County,New York,2009,423285
994,36031,Essex County,New York,2009,24380
995,36033,Franklin County,New York,2009,24544
996,36035,Fulton County,New York,2009,28165
997,36037,Genesee County,New York,2009,24571
998,36039,Greene County,New York,2009,28202
999,36041,Hamilton County,New York,2009,8283
1000,36043,Herkimer County,New York,2009,32632
1001,36045,Jefferson County,New York,2009,57257
2213,36047,Kings County,New York,2009,961271
2214,36049,Lewis County,New York,2009,16108
2215,36051,Livingston County,New York,2009,25066
2216,36053,Madison County,New York,2009,29612
2217,36055,Monroe County,New York,2009,313630
2218,36057,Montgomery County,New York,2009,22630
2219,36059,Nassau County,New York,2009,458626
2220,36061,New York County,New York,2009,845057
2221,36063,Niagara County,New York,2009,98112
2222,36065,Oneida County,New York,2009,103749
2223,36067,Onondaga County,New York,2009,202258
2224,36069,Ontario County,New York,2009,45483
2225,36071,Orange County,New York,2009,133932
2226,36073,Orleans County,New York,2009,17591
2227,36075,Oswego County,New York,2009,54166
2228,36077,Otsego County,New York,2009,30646
2229,36079,Putnam County,New York,2009,36464
2230,36081,Queens County,New York,2009,836112
2231,36083,Rensselaer County,New York,2009,68951
2232,36085,Richmond County,New York,2009,178237
2233,36087,Rockland County,New York,2009,98610
2234,36089,St. Lawrence County,New York,2009,50836
2235,36091,Saratoga County,New York,2009,94748
2236,36093,Schenectady County,New York,2009,66283
2237,36095,Schoharie County,New York,2009,16552
2238,36097,Schuyler County,New York,2009,9451
2239,36099,Seneca County,New York,2009,14927
2240,36101,Steuben County,New York,2009,47072
2241,36103,Suffolk County,New York,2009,543628
2242,36105,Sullivan County,New York,2009,48369
2243,36107,Tioga County,New York,2009,21833
2244,36109,Tompkins County,New York,2009,40689
2245,36111,Ulster County,New York,2009,81613
2246,36113,Warren County,New York,2009,37467
2247,36115,Washington County,New York,2009,28395
2248,36117,Wayne County,New York,2009,40126
2249,36119,Westchester County,New York,2009,360130
2250,36121,Wyoming County,New York,2009,17331
2251,36123,Yates County,New York,2009,12489
5425,36001,Albany County,New York,2010,136810
5426,36003,Allegany County,New York,2010,25908
5427,36005,Bronx County,New York,2010,509665
5428,36007,Broome County,New York,2010,90348
5429,36009,Cattaraugus County,New York,2010,41032
5430,36011,Cayuga County,New York,2010,36469
5431,36013,Chautauqua County,New York,2010,66784
5432,36015,Chemung County,New York,2010,38371
5433,36017,Chenango County,New York,2010,24615
5434,36019,Clinton County,New York,2010,35523
5435,36021,Columbia County,New York,2010,32501
5436,36023,Cortland County,New York,2010,20515
5437,36025,Delaware County,New York,2010,30890
5438,36027,Dutchess County,New York,2010,116946
5439,36029,Erie County,New York,2010,420432
5440,36031,Essex County,New York,2010,25312
5441,36033,Franklin County,New York,2010,25149
5442,36035,Fulton County,New York,2010,28464
5443,36037,Genesee County,New York,2010,25409
5444,36039,Greene County,New York,2010,28883
5445,36041,Hamilton County,New York,2010,8555
5446,36043,Herkimer County,New York,2010,33219
5447,36045,Jefferson County,New York,2010,57168
5448,36047,Kings County,New York,2010,986482
5449,36049,Lewis County,New York,2010,15230
5450,36051,Livingston County,New York,2010,26774
5451,36053,Madison County,New York,2010,31243
5452,36055,Monroe County,New York,2010,318793
5453,36057,Montgomery County,New York,2010,23020
5454,36059,Nassau County,New York,2010,466721
5455,36061,New York County,New York,2010,839013
5456,36063,Niagara County,New York,2010,98686
5457,36065,Oneida County,New York,2010,104049
5458,36067,Onondaga County,New York,2010,201871
5459,36069,Ontario County,New York,2010,47290
5460,36071,Orange County,New York,2010,135562
5461,36073,Orleans County,New York,2010,18300
5462,36075,Oswego County,New York,2010,53652
5463,36077,Otsego County,New York,2010,30725
5464,36079,Putnam County,New York,2010,37881
5465,36081,Queens County,New York,2010,832357
5466,36083,Rensselaer County,New York,2010,70891
5467,36085,Richmond County,New York,2010,175907
5468,36087,Rockland County,New York,2010,102533
5469,36089,St. Lawrence County,New York,2010,51845
5470,36091,Saratoga County,New York,2010,97153
5471,36093,Schenectady County,New York,2010,67701
5472,36095,Schoharie County,New York,2010,17065
5473,36097,Schuyler County,New York,2010,9424
5474,36099,Seneca County,New York,2010,15810
5475,36101,Steuben County,New York,2010,48562
5476,36103,Suffolk County,New York,2010,564684
5477,36105,Sullivan County,New York,2010,48675
5478,36107,Tioga County,New York,2010,22109
5479,36109,Tompkins County,New York,2010,41381
5480,36111,Ulster County,New York,2010,83007
5481,36113,Warren County,New York,2010,38343
5482,36115,Washington County,New York,2010,28626
5483,36117,Wayne County,New York,2010,40825
5484,36119,Westchester County,New York,2010,368498
5485,36121,Wyoming County,New York,2010,17876
5486,36123,Yates County,New York,2010,13303
7608,36005,Bronx County,New York,2011,511180
7609,36067,Onondaga County,New York,2011,202150
7610,36019,Clinton County,New York,2011,35705
7611,36099,Seneca County,New York,2011,15955
7612,36079,Putnam County,New York,2011,38073
7613,36043,Herkimer County,New York,2011,33349
7614,36069,Ontario County,New York,2011,47816
7615,36101,Steuben County,New York,2011,48748
7616,36041,Hamilton County,New York,2011,8653
7617,36013,Chautauqua County,New York,2011,66854
7618,36047,Kings County,New York,2011,993379
7619,36107,Tioga County,New York,2011,22181
7620,36073,Orleans County,New York,2011,18381
7621,36091,Saratoga County,New York,2011,97987
7622,36021,Columbia County,New York,2011,32662
7864,36095,Schoharie County,New York,2011,17185
7865,36035,Fulton County,New York,2011,28531
7866,36083,Rensselaer County,New York,2011,71272
7867,36033,Franklin County,New York,2011,25251
7868,36081,Queens County,New York,2011,833401
7869,36115,Washington County,New York,2011,28758
7870,36061,New York County,New York,2011,842807
7871,36011,Cayuga County,New York,2011,36471
7872,36087,Rockland County,New York,2011,103392
7873,36063,Niagara County,New York,2011,98965
7874,36031,Essex County,New York,2011,25474
7875,36059,Nassau County,New York,2011,467515
7876,36097,Schuyler County,New York,2011,9458
7877,36017,Chenango County,New York,2011,24677
7878,36045,Jefferson County,New York,2011,57581
7879,36103,Suffolk County,New York,2011,567748
7880,36121,Wyoming County,New York,2011,17920
7881,36075,Oswego County,New York,2011,53692
7882,36117,Wayne County,New York,2011,40913
7883,36007,Broome County,New York,2011,90431
7884,36029,Erie County,New York,2011,420164
7885,36105,Sullivan County,New York,2011,48987
7886,36071,Orange County,New York,2011,136331
9552,36049,Lewis County,New York,2011,15155
9553,36119,Westchester County,New York,2011,369753
9554,36025,Delaware County,New York,2011,31092
9555,36057,Montgomery County,New York,2011,23023
9556,36085,Richmond County,New York,2011,176225
9557,36089,St. Lawrence County,New York,2011,52006
9558,36109,Tompkins County,New York,2011,41528
9559,36113,Warren County,New York,2011,38572
9560,36023,Cortland County,New York,2011,20517
9561,36027,Dutchess County,New York,2011,117933
9562,36055,Monroe County,New York,2011,319930
9563,36065,Oneida County,New York,2011,104186
9564,36111,Ulster County,New York,2011,83330
9565,36015,Chemung County,New York,2011,38389
9566,36051,Livingston County,New York,2011,26965
9567,36077,Otsego County,New York,2011,30739
9568,36039,Greene County,New York,2011,29063
9569,36001,Albany County,New York,2011,137299
9570,36003,Allegany County,New York,2011,26057
9571,36009,Cattaraugus County,New York,2011,41069
9572,36053,Madison County,New York,2011,31539
9573,36093,Schenectady County,New York,2011,67992
9574,36037,Genesee County,New York,2011,25521
9575,36123,Yates County,New York,2011,13423
11326,36005,Bronx County,New York,2012,512420
11327,36067,Onondaga County,New York,2012,202570
11328,36019,Clinton County,New York,2012,35809
11329,36099,Seneca County,New York,2012,16020
11330,36079,Putnam County,New York,2012,38135
11331,36043,Herkimer County,New York,2012,33333
11332,36069,Ontario County,New York,2012,48080
11333,36101,Steuben County,New York,2012,48788
11334,36041,Hamilton County,New York,2012,8684
11335,36013,Chautauqua County,New York,2012,66832
11336,36047,Kings County,New York,2012,998773
11337,36107,Tioga County,New York,2012,22196
11338,36073,Orleans County,New York,2012,18365
11339,36091,Saratoga County,New York,2012,98758
11340,36021,Columbia County,New York,2012,32710
11341,36049,Lewis County,New York,2012,15183
11342,36119,Westchester County,New York,2012,370133
11343,36025,Delaware County,New York,2012,31143
11344,36057,Montgomery County,New York,2012,23079
11345,36085,Richmond County,New York,2012,176730
11346,36089,St. Lawrence County,New York,2012,52077
11347,36109,Tompkins County,New York,2012,41662
11348,36113,Warren County,New York,2012,38691
11349,36023,Cortland County,New York,2012,20524
11350,36027,Dutchess County,New York,2012,118256
11351,36055,Monroe County,New York,2012,320238
11352,36065,Oneida County,New York,2012,104037
11502,36015,Chemung County,New York,2012,38326
11503,36051,Livingston County,New York,2012,27046
11504,36077,Otsego County,New York,2012,30737
11505,36039,Greene County,New York,2012,29159
11506,36001,Albany County,New York,2012,137426
11507,36003,Allegany County,New York,2012,26046
11508,36009,Cattaraugus County,New York,2012,41085
11509,36053,Madison County,New York,2012,31651
11510,36093,Schenectady County,New York,2012,68047
11511,36037,Genesee County,New York,2012,25537
11512,36123,Yates County,New York,2012,13456
11539,36111,Ulster County,New York,2012,83558
12022,36095,Schoharie County,New York,2012,17183
12023,36035,Fulton County,New York,2012,28525
12024,36083,Rensselaer County,New York,2012,71366
12025,36033,Franklin County,New York,2012,25277
12026,36081,Queens County,New York,2012,836722
12027,36115,Washington County,New York,2012,28802
12028,36061,New York County,New York,2012,846819
12029,36011,Cayuga County,New York,2012,36448
12030,36087,Rockland County,New York,2012,103816
12031,36063,Niagara County,New York,2012,99065
12032,36031,Essex County,New York,2012,25531
12033,36059,Nassau County,New York,2012,467418
12034,36097,Schuyler County,New York,2012,9456
12035,36017,Chenango County,New York,2012,24671
12036,36045,Jefferson County,New York,2012,57866
12037,36103,Suffolk County,New York,2012,568570
12038,36121,Wyoming County,New York,2012,17934
12039,36075,Oswego County,New York,2012,53631
12040,36117,Wayne County,New York,2012,40976
12041,36007,Broome County,New York,2012,90357
12042,36029,Erie County,New York,2012,420143
12043,36105,Sullivan County,New York,2012,49179
12044,36071,Orange County,New York,2012,137168
13366,36005,Bronx County,New York,2013,513595
13367,36067,Onondaga County,New York,2013,202816
13368,36019,Clinton County,New York,2013,35800
13369,36099,Seneca County,New York,2013,16036
13370,36079,Putnam County,New York,2013,38181
13371,36043,Herkimer County,New York,2013,33307
13372,36069,Ontario County,New York,2013,48325
13373,36101,Steuben County,New York,2013,48758
13374,36041,Hamilton County,New York,2013,8688
13375,36013,Chautauqua County,New York,2013,66731
13376,36047,Kings County,New York,2013,1002389
13377,36107,Tioga County,New York,2013,22147
13378,36073,Orleans County,New York,2013,18359
13379,36091,Saratoga County,New York,2013,99295
13380,36021,Columbia County,New York,2013,32708
13381,36049,Lewis County,New York,2013,15149
13382,36119,Westchester County,New York,2013,369996
13383,36025,Delaware County,New York,2013,31126
13384,36057,Montgomery County,New York,2013,23087
13385,36085,Richmond County,New York,2013,177168
13386,36089,St. Lawrence County,New York,2013,52053
13387,36109,Tompkins County,New York,2013,41679
13388,36113,Warren County,New York,2013,38746
13389,36023,Cortland County,New York,2013,20493
13390,36027,Dutchess County,New York,2013,118551
13391,36055,Monroe County,New York,2013,320531
13392,36065,Oneida County,New York,2013,103969
13393,36111,Ulster County,New York,2013,83559
13394,36015,Chemung County,New York,2013,38311
13395,36051,Livingston County,New York,2013,27102
13396,36077,Otsego County,New York,2013,30663
13397,36039,Greene County,New York,2013,29174
13398,36001,Albany County,New York,2013,137583
13399,36003,Allegany County,New York,2013,26026
13400,36009,Cattaraugus County,New York,2013,40973
13401,36053,Madison County,New York,2013,31678
13402,36093,Schenectady County,New York,2013,68134
13403,36037,Genesee County,New York,2013,25470
13404,36123,Yates County,New York,2013,13445
14934,36095,Schoharie County,New York,2013,17187
14935,36035,Fulton County,New York,2013,28541
14936,36083,Rensselaer County,New York,2013,71429
14937,36033,Franklin County,New York,2013,25259
14938,36081,Queens County,New York,2013,838125
14939,36115,Washington County,New York,2013,28835
14940,36061,New York County,New York,2013,849236
14941,36011,Cayuga County,New York,2013,36360
14942,36087,Rockland County,New York,2013,104047
14943,36063,Niagara County,New York,2013,98952
14944,36031,Essex County,New York,2013,25536
14945,36059,Nassau County,New York,2013,467241
14946,36097,Schuyler County,New York,2013,9455
14947,36017,Chenango County,New York,2013,24606
14948,36045,Jefferson County,New York,2013,58042
14949,36103,Suffolk County,New York,2013,569196
14950,36121,Wyoming County,New York,2013,17899
14951,36075,Oswego County,New York,2013,53553
14952,36117,Wayne County,New York,2013,40964
14953,36007,Broome County,New York,2013,90221
14954,36029,Erie County,New York,2013,419815
14955,36105,Sullivan County,New York,2013,49267
14956,36071,Orange County,New York,2013,137703
16272,36005,Bronx County,New York,2014,518149
16273,36067,Onondaga County,New York,2014,203496
16274,36019,Clinton County,New York,2014,35909
16275,36099,Seneca County,New York,2014,16137
16276,36079,Putnam County,New York,2014,38313
16277,36043,Herkimer County,New York,2014,33357
16278,36069,Ontario County,New York,2014,49084
16279,36107,Tioga County,New York,2014,22186
16280,36041,Hamilton County,New York,2014,8742
16281,36013,Chautauqua County,New York,2014,66757
16282,36047,Kings County,New York,2014,1012536
16283,36073,Orleans County,New York,2014,18479
16284,36091,Saratoga County,New York,2014,100185
16285,36021,Columbia County,New York,2014,32759
16286,36049,Lewis County,New York,2014,15201
16287,36119,Westchester County,New York,2014,370283
16288,36025,Delaware County,New York,2014,31222
16289,36057,Montgomery County,New York,2014,23159
16290,36085,Richmond County,New York,2014,177781
16291,36089,St. Lawrence County,New York,2014,52182
16292,36109,Tompkins County,New York,2014,41822
16293,36113,Warren County,New York,2014,38873
16294,36023,Cortland County,New York,2014,20554
16295,36027,Dutchess County,New York,2014,118848
16296,36055,Monroe County,New York,2014,322204
16297,36065,Oneida County,New York,2014,104074
16298,36111,Ulster County,New York,2014,83738
16299,36015,Chemung County,New York,2014,38376
16300,36051,Livingston County,New York,2014,27220
16301,36077,Otsego County,New York,2014,30711
16302,36039,Greene County,New York,2014,29260
16303,36001,Albany County,New York,2014,137859
16304,36003,Allegany County,New York,2014,26106
16305,36009,Cattaraugus County,New York,2014,41048
16306,36053,Madison County,New York,2014,31760
16307,36093,Schenectady County,New York,2014,68148
16308,36037,Genesee County,New York,2014,25627
16309,36123,Yates County,New York,2014,13641
16311,36101,Steuben County,New York,2014,48859
18325,36103,Suffolk County,New York,2014,570122
18326,36121,Wyoming County,New York,2014,18041
18327,36075,Oswego County,New York,2014,53661
18328,36117,Wayne County,New York,2014,41287
18329,36007,Broome County,New York,2014,90139
18330,36029,Erie County,New York,2014,420537
18331,36105,Sullivan County,New York,2014,49432
18332,36071,Orange County,New York,2014,138441
19121,36095,Schoharie County,New York,2014,17239
19122,36035,Fulton County,New York,2014,28616
19123,36083,Rensselaer County,New York,2014,71676
19124,36033,Franklin County,New York,2014,25292
19125,36081,Queens County,New York,2014,841367
19126,36115,Washington County,New York,2014,28956
19127,36061,New York County,New York,2014,858099
19128,36011,Cayuga County,New York,2014,36441
19129,36087,Rockland County,New York,2014,104297
19130,36063,Niagara County,New York,2014,99184
19131,36031,Essex County,New York,2014,25675
19132,36059,Nassau County,New York,2014,467621
19133,36097,Schuyler County,New York,2014,9507
19134,36017,Chenango County,New York,2014,24726
19135,36045,Jefferson County,New York,2014,58308
19589,36095,Schoharie County,New York,2015,17201
19590,36035,Fulton County,New York,2015,28617
19591,36083,Rensselaer County,New York,2015,71742
19592,36033,Franklin County,New York,2015,25293
19593,36081,Queens County,New York,2015,844189
19594,36115,Washington County,New York,2015,28994
19595,36061,New York County,New York,2015,862289
19596,36011,Cayuga County,New York,2015,36405
19597,36087,Rockland County,New York,2015,104442
19598,36063,Niagara County,New York,2015,99170
19599,36031,Essex County,New York,2015,25678
19600,36059,Nassau County,New York,2015,467256
19601,36045,Jefferson County,New York,2015,58536
19602,36103,Suffolk County,New York,2015,570194
19603,36121,Wyoming County,New York,2015,18037
19604,36075,Oswego County,New York,2015,53656
19605,36117,Wayne County,New York,2015,41386
19606,36007,Broome County,New York,2015,90026
19607,36029,Erie County,New York,2015,420782
19608,36105,Sullivan County,New York,2015,49548
19609,36071,Orange County,New York,2015,139103
19646,36097,Schuyler County,New York,2015,9513
19647,36017,Chenango County,New York,2015,24742
20143,36005,Bronx County,New York,2015,520329
20144,36067,Onondaga County,New York,2015,203956
20195,36099,Seneca County,New York,2015,16161
20196,36079,Putnam County,New York,2015,38289
20197,36043,Herkimer County,New York,2015,33345
20198,36069,Ontario County,New York,2015,49418
20199,36101,Steuben County,New York,2015,48849
20200,36041,Hamilton County,New York,2015,8757
20201,36013,Chautauqua County,New York,2015,66741
20202,36047,Kings County,New York,2015,1017282
20203,36107,Tioga County,New York,2015,22183
20204,36073,Orleans County,New York,2015,18498
20205,36091,Saratoga County,New York,2015,100953
20206,36021,Columbia County,New York,2015,32802
20207,36049,Lewis County,New York,2015,15249
20208,36119,Westchester County,New York,2015,370032
20209,36025,Delaware County,New York,2015,31202
20210,36057,Montgomery County,New York,2015,23184
20211,36085,Richmond County,New York,2015,178136
20212,36089,St. Lawrence County,New York,2015,52203
20213,36109,Tompkins County,New York,2015,41983
20214,36113,Warren County,New York,2015,38928
20215,36023,Cortland County,New York,2015,20527
20216,36027,Dutchess County,New York,2015,118996
20217,36055,Monroe County,New York,2015,323313
20218,36065,Oneida County,New York,2015,104006
20219,36111,Ulster County,New York,2015,83733
20220,36015,Chemung County,New York,2015,38382
20221,36051,Livingston County,New York,2015,27249
20222,36077,Otsego County,New York,2015,30665
20223,36019,Clinton County,New York,2015,35918
20224,36039,Greene County,New York,2015,29276
20225,36001,Albany County,New York,2015,138081
20226,36003,Allegany County,New York,2015,26024
20227,36009,Cattaraugus County,New York,2015,41034
20228,36053,Madison County,New York,2015,31742
20229,36093,Schenectady County,New York,2015,68171
20230,36037,Genesee County,New York,2015,25636
20231,36123,Yates County,New York,2015,13693
23269,36095,Schoharie County,New York,2016,17229
23270,36035,Fulton County,New York,2016,28632
23271,36083,Rensselaer County,New York,2016,71760
23272,36033,Franklin County,New York,2016,25324
23273,36081,Queens County,New York,2016,846689
23274,36115,Washington County,New York,2016,28996
23275,36061,New York County,New York,2016,866644
23276,36011,Cayuga County,New York,2016,36418
23277,36087,Rockland County,New York,2016,104651
23278,36063,Niagara County,New York,2016,99162
23279,36031,Essex County,New York,2016,25756
23280,36059,Nassau County,New York,2016,467127
23281,36097,Schuyler County,New York,2016,9544
23282,36017,Chenango County,New York,2016,24817
23283,36045,Jefferson County,New York,2016,58728
23284,36103,Suffolk County,New York,2016,570464
23286,36075,Oswego County,New York,2016,53687
23287,36117,Wayne County,New York,2016,41421
23288,36007,Broome County,New York,2016,89919
23289,36029,Erie County,New York,2016,421361
23290,36105,Sullivan County,New York,2016,49645
23291,36071,Orange County,New York,2016,139757
23528,36005,Bronx County,New York,2016,522401
23529,36067,Onondaga County,New York,2016,204504
23530,36019,Clinton County,New York,2016,35948
23531,36099,Seneca County,New York,2016,16230
23532,36079,Putnam County,New York,2016,38321
23533,36043,Herkimer County,New York,2016,33368
23534,36069,Ontario County,New York,2016,49693
23535,36101,Steuben County,New York,2016,48813
23536,36041,Hamilton County,New York,2016,8776
23537,36013,Chautauqua County,New York,2016,66722
23538,36047,Kings County,New York,2016,1021747
